index,IR1,IR2,IR3,LW_speed,RW_speed
366, 60.0,239.0,338.0,16.03,43.97
367, 44.0,83.0,259.0,31.47,28.53
368, 43.0,48.0,266.0,31.17,28.83
369, 43.0,43.0,298.0,30.0,30.0
370, 44.0,42.0,341.0,30.0,30.0
371, 45.0,44.0,264.0,30.0,30.0
372, 45.0,43.0,292.0,30.0,30.0
373, 46.0,44.0,269.0,30.0,30.0
374, 49.0,47.0,132.0,30.0,30.0
375, 49.0,48.0,61.0,23.8,36.2
376, 48.0,49.0,50.0,26.76,33.24
377, 48.0,50.0,48.0,26.53,33.47
378, 51.0,55.0,48.0,26.3,33.7
379, 52.0,51.0,49.0,26.56,33.44
380, 50.0,47.0,52.0,26.0,34.0
381, 47.0,47.0,59.0,25.75,34.25
382, 50.0,47.0,100.0,21.47,38.53
383, 51.0,48.0,171.0,33.09,26.91
384, 50.0,46.0,222.0,30.0,30.0
385, 50.0,45.0,197.0,30.0,30.0
386, 50.0,45.0,233.0,30.0,30.0
387, 51.0,45.0,243.0,30.0,30.0
388, 49.0,44.0,253.0,30.0,30.0
389, 47.0,45.0,222.0,30.0,30.0
390, 48.0,46.0,196.0,30.0,30.0
391, 47.0,45.0,192.0,30.0,30.0
392, 48.0,44.0,183.0,30.0,30.0
393, 49.0,44.0,196.0,30.0,30.0
394, 46.0,44.0,144.0,30.0,30.0
395, 47.0,44.0,152.0,30.0,30.0
396, 47.0,44.0,143.0,30.0,30.0
397, 49.0,43.0,133.0,30.0,30.0
398, 48.0,44.0,122.0,30.0,30.0
399, 47.0,43.0,115.0,30.0,30.0
400, 47.0,43.0,119.0,30.0,30.0
401, 48.0,44.0,101.0,30.0,30.0
402, 47.0,44.0,78.0,21.9,38.1
403, 48.0,45.0,101.0,32.43,27.57
404, 51.0,48.0,160.0,30.0,30.0
405, 47.0,142.0,50.0,15.5,44.5
406, 45.0,242.0,42.0,10.45,49.55
407, 45.0,291.0,42.0,8.37,51.63
408, 46.0,318.0,43.0,7.14,52.86
409, 46.0,133.0,43.0,26.45,33.55
410, 46.0,50.0,45.0,29.0,31.0
411, 47.0,47.0,47.0,26.77,33.23
412, 46.0,48.0,44.0,26.81,33.19
413, 45.0,60.0,43.0,25.58,34.42
414, 46.0,145.0,42.0,17.64,42.36
415, 45.0,232.0,42.0,11.33,48.67
416, 46.0,222.0,42.0,15.07,44.93
417, 47.0,208.0,42.0,16.24,43.76
418, 46.0,89.0,43.0,27.49,32.51
419, 44.0,48.0,43.0,27.88,32.12
420, 45.0,47.0,43.0,26.91,33.09
421, 45.0,50.0,44.0,26.45,33.55
422, 48.0,59.0,43.0,26.07,33.93
423, 47.0,179.0,43.0,14.12,45.88
424, 47.0,213.0,42.0,14.45,45.55
425, 46.0,266.0,42.0,10.04,49.96
426, 46.0,276.0,43.0,10.56,49.44
427, 47.0,253.0,43.0,13.29,46.71
428, 47.0,214.0,44.0,16.37,43.63
429, 49.0,200.0,48.0,16.43,43.57
430, 48.0,365.0,46.0,-0.33,60.33
431, 55.0,353.0,47.0,6.39,53.61
432, 48.0,341.0,50.0,6.05,53.95
433, 49.0,215.0,53.0,18.39,41.61
434, 47.0,107.0,64.0,24.17,35.83
435, 47.0,47.0,93.0,24.42,35.58
436, 57.0,45.0,129.0,32.79,27.21
437, 49.0,45.0,59.0,23.7,36.3
438, 48.0,54.0,49.0,26.39,33.61
439, 48.0,129.0,44.0,19.15,40.85
440, 47.0,295.0,42.0,4.75,55.25
441, 48.0,219.0,41.0,17.5,42.5
442, 46.0,101.0,41.0,26.76,33.24
443, 46.0,48.0,43.0,28.38,31.62
444, 45.0,47.0,43.0,26.85,33.15
445, 47.0,47.0,43.0,27.05,32.95
446, 46.0,53.0,43.0,26.29,33.71
447, 48.0,53.0,42.0,26.8,33.2
448, 49.0,83.0,42.0,23.81,36.19
449, 47.0,138.0,41.0,19.08,40.92
450, 45.0,187.0,40.0,15.76,44.24
451, 46.0,147.0,40.0,21.36,38.64
452, 46.0,54.0,42.0,29.23,30.77
453, 46.0,48.0,43.0,27.0,33.0
454, 46.0,43.0,44.0,26.65,33.35
455, 46.0,42.0,44.0,26.61,33.39
456, 46.0,42.0,44.0,26.64,33.36
457, 44.0,43.0,46.0,26.74,33.26
458, 43.0,43.0,46.0,26.81,33.19
459, 45.0,41.0,46.0,26.38,33.62
460, 45.0,41.0,48.0,26.3,33.7
461, 46.0,41.0,50.0,26.06,33.94
462, 47.0,41.0,57.0,25.35,34.65
463, 46.0,42.0,108.0,31.89,28.11
464, 46.0,42.0,221.0,30.0,30.0
465, 48.0,43.0,229.0,30.0,30.0
466, 48.0,42.0,263.0,30.0,30.0
467, 51.0,43.0,259.0,30.0,30.0
468, 51.0,43.0,313.0,30.0,30.0
469, 49.0,42.0,269.0,30.0,30.0
470, 46.0,42.0,279.0,30.0,30.0
471, 49.0,42.0,253.0,30.0,30.0
472, 53.0,43.0,262.0,30.0,30.0
473, 72.0,45.0,294.0,30.0,30.0
474, 53.0,44.0,283.0,30.0,30.0
475, 59.0,44.0,240.0,30.0,30.0
476, 117.0,43.0,195.0,37.4,22.6
477, 114.0,43.0,186.0,34.88,25.12
478, 84.0,44.0,170.0,31.87,28.13
479, 78.0,43.0,174.0,32.3,27.7
480, 95.0,43.0,169.0,34.15,25.85
481, 80.0,42.0,129.0,32.24,27.76
482, 55.0,42.0,207.0,28.86,31.14
483, 55.0,42.0,147.0,30.0,30.0
484, 78.0,41.0,111.0,33.7,26.3
485, 122.0,40.0,57.0,42.79,17.21
486, 190.0,41.0,51.0,45.83,14.17
487, 58.0,41.0,73.0,33.0,27.0
488, 49.0,40.0,188.0,27.3,32.7
489, 48.0,41.0,203.0,30.0,30.0
490, 47.0,40.0,169.0,30.0,30.0
491, 50.0,40.0,117.0,30.0,30.0
492, 49.0,40.0,90.0,39.9,20.1
493, 50.0,41.0,125.0,27.03,32.97
494, 48.0,40.0,114.0,30.0,30.0
495, 49.0,41.0,117.0,30.0,30.0
496, 49.0,41.0,165.0,30.0,30.0
497, 47.0,41.0,182.0,30.0,30.0
498, 47.0,42.0,149.0,30.0,30.0
499, 49.0,42.0,198.0,30.0,30.0
500, 48.0,42.0,204.0,30.0,30.0
501, 51.0,42.0,186.0,30.0,30.0
502, 147.0,43.0,356.0,40.4,19.6
503, 305.0,42.0,150.0,53.18,6.82
504, 339.0,42.0,70.0,58.81,1.19
505, 242.0,42.0,109.0,38.99,21.01
506, 66.0,43.0,280.0,24.0,36.0
507, 54.0,42.0,290.0,30.0,30.0
508, 54.0,43.0,284.0,30.0,30.0
509, 54.0,42.0,281.0,30.0,30.0
510, 61.0,42.0,227.0,30.0,30.0
511, 135.0,43.0,178.0,39.2,20.8
512, 180.0,43.0,120.0,40.94,19.06
513, 230.0,43.0,108.0,44.59,15.41
514, 140.0,42.0,126.0,34.19,25.81
515, 128.0,42.0,155.0,35.66,24.34
516, 88.0,42.0,182.0,32.02,27.98
517, 77.0,41.0,151.0,32.22,27.78
518, 62.0,42.0,141.0,28.92,31.08
519, 62.0,42.0,116.0,30.0,30.0
520, 57.0,41.0,95.0,41.1,18.9
521, 57.0,42.0,99.0,38.07,21.93
522, 65.0,42.0,145.0,26.58,33.42
523, 55.0,42.0,200.0,30.0,30.0
524, 49.0,41.0,200.0,30.0,30.0
525, 47.0,41.0,196.0,30.0,30.0
526, 49.0,41.0,342.0,30.0,30.0
527, 48.0,42.0,254.0,30.0,30.0
528, 46.0,41.0,217.0,30.0,30.0
529, 47.0,41.0,244.0,30.0,30.0
530, 47.0,41.0,248.0,30.0,30.0
531, 47.0,41.0,238.0,30.0,30.0
532, 50.0,42.0,262.0,30.0,30.0
533, 49.0,43.0,295.0,30.0,30.0
534, 46.0,42.0,267.0,30.0,30.0
535, 48.0,43.0,256.0,30.0,30.0
536, 49.0,43.0,224.0,30.0,30.0
537, 51.0,43.0,261.0,30.0,30.0
538, 48.0,43.0,239.0,30.0,30.0
539, 48.0,43.0,147.0,30.0,30.0
540, 47.0,43.0,97.0,40.1,19.9
541, 48.0,44.0,52.0,32.57,27.43
542, 48.0,48.0,45.0,32.82,27.18
543, 49.0,55.0,43.0,33.55,26.45
544, 49.0,50.0,43.0,32.93,27.07
545, 46.0,45.0,42.0,32.98,27.02
546, 48.0,43.0,43.0,33.51,26.49
547, 46.0,44.0,42.0,32.96,27.04
548, 47.0,44.0,42.0,33.18,26.82
549, 48.0,44.0,42.0,33.25,26.75
550, 49.0,47.0,43.0,33.12,26.88
551, 54.0,43.0,43.0,34.05,25.95
552, 81.0,38.0,40.0,36.68,23.32
553, 45.0,36.0,36.0,32.01,27.99
554, 38.0,37.0,35.0,32.25,27.75
555, 36.0,40.0,38.0,33.12,26.88
556, 38.0,39.0,43.0,33.14,26.86
557, 40.0,38.0,44.0,33.28,26.72
558, 41.0,34.0,43.0,33.62,26.38
559, 40.0,33.0,44.0,33.6,26.4
560, 37.0,33.0,41.0,32.97,27.03
561, 35.0,33.0,40.0,32.85,27.15
562, 39.0,32.0,42.0,33.64,26.36
563, 52.0,34.0,55.0,35.83,24.17
564, 59.0,35.0,75.0,37.71,22.29
565, 52.0,35.0,74.0,36.13,23.87
566, 47.0,34.0,56.0,34.17,25.83
567, 44.0,34.0,49.0,33.83,26.17
568, 41.0,33.0,45.0,33.53,26.47
569, 41.0,33.0,44.0,33.61,26.39
570, 39.0,33.0,41.0,33.14,26.86
571, 39.0,32.0,39.0,33.19,26.81
572, 41.0,32.0,40.0,33.52,26.48
573, 45.0,35.0,37.0,33.23,26.77
574, 185.0,40.0,35.0,46.59,13.41
575, 51.0,39.0,34.0,29.2,30.8
576, 41.0,34.0,38.0,33.12,26.88
577, 130.0,39.0,44.0,42.15,17.85
578, 46.0,37.0,39.0,30.75,29.25
579, 39.0,48.0,38.0,33.26,26.74
580, 48.0,46.0,45.0,33.29,26.71
581, 54.0,47.0,43.0,33.59,26.41
582, 58.0,46.0,47.0,34.4,25.6
583, 50.0,44.0,273.0,28.23,31.77
584, 50.0,197.0,47.0,10.6,49.4
585, 48.0,330.0,43.0,3.32,56.68
586, 48.0,44.0,42.0,35.15,24.85
587, 45.0,42.0,41.0,26.98,33.02
588, 46.0,43.0,42.0,26.82,33.18
589, 45.0,43.0,42.0,26.95,33.05
590, 48.0,45.0,43.0,26.72,33.28
591, 47.0,44.0,42.0,26.88,33.12
592, 50.0,46.0,43.0,26.65,33.35
593, 49.0,45.0,43.0,26.71,33.29
594, 47.0,43.0,42.0,26.81,33.19
595, 49.0,43.0,42.0,26.58,33.42
596, 46.0,43.0,42.0,26.94,33.06
597, 48.0,44.0,42.0,26.75,33.25
598, 48.0,43.0,42.0,26.68,33.32
599, 50.0,45.0,43.0,26.61,33.39
600, 49.0,45.0,44.0,26.64,33.36
601, 49.0,56.0,44.0,26.34,33.66
602, 49.0,205.0,44.0,11.53,48.47
603, 49.0,326.0,43.0,4.0,56.0
604, 49.0,372.0,44.0,2.9,57.1
605, 49.0,375.0,44.0,4.01,55.99
606, 48.0,368.0,43.0,4.8,55.2
607, 48.0,366.0,43.0,4.79,55.21
608, 48.0,366.0,43.0,4.73,55.27
609, 49.0,369.0,43.0,4.53,55.47
610, 49.0,370.0,43.0,4.49,55.51
611, 48.0,368.0,43.0,4.62,55.38
612, 48.0,370.0,44.0,4.29,55.71
613, 50.0,383.0,44.0,3.28,56.72
614, 50.0,406.0,44.0,1.31,58.69
615, 51.0,354.0,44.0,7.3,52.7
616, 51.0,200.0,45.0,21.01,38.99
617, 48.0,49.0,55.0,30.22,29.78
618, 68.0,45.0,306.0,31.68,28.32
619, 119.0,46.0,285.0,37.3,22.7
620, 387.0,45.0,45.0,66.51,-6.51
621, 193.0,45.0,43.0,37.49,22.51
622, 49.0,46.0,43.0,28.87,31.13
623, 49.0,45.0,44.0,33.42,26.58
624, 52.0,45.0,43.0,33.56,26.44
625, 51.0,46.0,44.0,33.4,26.6
626, 47.0,46.0,44.0,33.03,26.97
627, 49.0,45.0,43.0,33.35,26.65
628, 50.0,45.0,43.0,33.39,26.61
629, 48.0,44.0,43.0,33.26,26.74
630, 48.0,44.0,43.0,33.29,26.71
631, 48.0,45.0,44.0,33.29,26.71
632, 48.0,45.0,44.0,33.29,26.71
633, 48.0,45.0,44.0,33.29,26.71
634, 48.0,45.0,43.0,33.19,26.81
635, 48.0,45.0,43.0,33.22,26.78
636, 48.0,45.0,43.0,33.22,26.78
